created_at,entry_id,field1,field2,field3,field4,field5
2025-03-22 06:05:10 UTC,3249497,28,33,129,1009,12.81
2025-03-22 06:05:41 UTC,3249498,28,33,129,1009,12.81
2025-03-22 06:06:11 UTC,3249499,28,33,129,1009,12.81
2025-03-22 06:06:42 UTC,3249500,28,33,129,1009,12.78
2025-03-22 06:07:12 UTC,3249501,28,33,129,1009,12.81
2025-03-22 06:07:43 UTC,3249502,28,33,129,1009,12.88
2025-03-22 06:08:13 UTC,3249503,28,33,128,1009,12.88
2025-03-22 06:08:43 UTC,3249504,28,33,127,1009,12.81
2025-03-22 06:09:14 UTC,3249505,28,33,126,1009,12.81
2025-03-22 06:09:44 UTC,3249506,28,33,125,1009,12.81
2025-03-22 06:10:15 UTC,3249507,28,33,123,1009,12.92
2025-03-22 06:10:46 UTC,3249508,28,33,120,1009,12.81
2025-03-22 06:11:16 UTC,3249509,28,33,117,1009,12.78
2025-03-22 06:11:46 UTC,3249510,28,33,116,1009,12.78
2025-03-22 06:12:17 UTC,3249511,28,33,119,1009,12.85
2025-03-22 06:12:47 UTC,3249512,28,33,115,1009,12.85
2025-03-22 06:13:18 UTC,3249513,28,33,113,1009,12.88
2025-03-22 06:13:48 UTC,3249514,28,33,118,1009,12.78
2025-03-22 06:14:19 UTC,3249515,28,33,116,1009,12.78
2025-03-22 06:14:49 UTC,3249516,28,33,113,1009,12.81
2025-03-22 06:15:20 UTC,3249517,28,33,115,1009,12.78
2025-03-22 06:15:50 UTC,3249518,28,33,110,1009,12.78
2025-03-22 06:16:21 UTC,3249519,28,33,108,1008,12.78
2025-03-22 06:16:51 UTC,3249520,28,33,115,1008,12.78
2025-03-22 06:17:22 UTC,3249521,28,33,116,1009,12.78
2025-03-22 06:17:52 UTC,3249522,28,33,119,1008,12.88
2025-03-22 06:18:23 UTC,3249523,28,33,120,1009,12.78
2025-03-22 06:18:56 UTC,3249524,28,33,120,1008,12.85
2025-03-22 06:19:26 UTC,3249525,28,33,120,1009,12.88
2025-03-22 06:19:57 UTC,3249526,28,33,120,1008,12.78
2025-03-22 06:20:27 UTC,3249527,29,32,120,1009,12.78
2025-03-22 06:20:58 UTC,3249528,29,32,120,1009,12.78
2025-03-22 06:21:28 UTC,3249529,29,32,120,1009,12.78
2025-03-22 06:21:59 UTC,3249530,29,32,120,1008,12.78
2025-03-22 06:22:29 UTC,3249531,29,32,121,1009,12.78
2025-03-22 06:23:00 UTC,3249532,29,32,122,1009,12.78
2025-03-22 06:23:30 UTC,3249533,29,32,122,1009,12.78
